id,raw_text,gender,birth_year,age,zodiac,mbti,height_cm,weight_kg,bmi,hometown,current_location,education,occupation,annual_income,hobbies,personality,has_house,has_car,marital_status,partner_preferences,self_introduction
men_100_84,"编号84
```
1995年出生
男老家在江苏扬州（独生子）家庭关系不复杂
身高183cm无不良嗜好
12年来的日本已经12年了
现在是永驻年收在5～600左右
在横滨买的房子和父母一起住
国内也有准备婚房（自己的）
有学区房也有商用店面房
学历大专（中医学的推拿按摩）
最近两三年内估计会在都内开店
父母有养老医疗（国内有日本也有）
```

- （",male,1995,30,,,183,,,江苏扬州,横滨,大专,推拿按摩,500-600万日元,,,True,,,,
men_100_83,"编号83
```
91年 男
天蝎座目前住千叶靠近成田机场那里
离异无孩 目前电商物流公司工作
来日第二年

希望找一个性格温和一些
能一起安安稳稳过日子
无论在日还是在哪，
优先偏向长发女生一些
短发不是不能接受
不介意对方有过婚史
如果有孩子最多能接受一个
```

- （",male,1991,34,天蝎,,,,,,千叶靠近成田机场那里,,电商物流公司工作,,,,,,离异无孩,希望找一个性格温和一些，能一起安安稳稳过日子，无论在日还是在哪，优先偏向长发女生一些，短发不是不能接受，不介意对方有过婚史，如果有孩子最多能接受一个,来日第二年
men_100_81,"编号81
```
在日，辽宁大连人。
寻找伴侣，目前在东京都一都三县附近。
96年178金牛男！
特定技能1号签证，工作是建筑公司上班。
月薪40W左右，圈子小，干净，不抽，不赌，不嫖！
对我感性兴趣的可以加我哦～谢谢！
希望另一半160左右，上下差5岁都可以，
对温柔的女孩纸毫无抵抗力ヾ(≧∇≦谢谢≧∇≦)ノ
```

- （",male,1996,29,金牛,,178,,,辽宁大连,东京都一都三县附近,,建筑公司上班,,,,,,,希望另一半160左右，上下差5岁都可以，对温柔的女孩纸毫无抵抗力,在日，辽宁大连人。寻找伴侣，特定技能1号签证，工作是建筑公司上班。月薪40W左右，圈子小，干净，不抽，不赌，不嫖！对我感性兴趣的可以加我哦～谢谢！
men_100_80,"编号80
```
2.性别：男
3.出生年份：2002
4.籍贯：山东省济南市
5.身高体重：180/104kg
6.学历：大学在读
7.居住地：千叶市川
8.工作：学生
9、车房：济南市有房，无车
兴趣爱好（方便找共同点)：性格enfj，
在日本：爱调酒，自学吉他弹，喜欢红茶，
喜欢健身房不喜欢户外，爱开车正在换驾照，
喜欢卡比，游戏手游LOL，端游LOL，
csgo，老登环，帕鲁。
想找一位25岁以下的女性谈恋爱。
```

- （",male,2002,23,,ENFJ,180,104,32.1,山东省济南市,千叶市川,大学在读,学生,,"csgo, 喜欢健身房不喜欢户外, 喜欢卡比, 喜欢红茶, 帕鲁, 游戏手游LOL, 爱开车正在换驾照, 端游LOL, 老登环, 自学吉他弹, 调酒",,True,False,,想找一位25岁以下的女性谈恋爱,
men_100_34,"编号34
```
96年，男，INFJ，属于瘦子，
不穿鞋身高177，头像是自己。
国内211末流本科毕业，
目前计划在日本长住，工作稳定。
情绪稳定，性格温柔善良，
热爱生活，不悲不丧，有同理心，人品端正。
爱干净（每天洗澡，穿出门的衣服绝不沾床等），
圈子简单，无不良嗜好。
喜欢摄影（目前是视觉中国签约摄影师），
阅读，游泳，潜水，也玩一点游戏。

希望对方：
脾气不要太差，
有在日本长期生活的打算，瘦子，靠谱专一。
年龄差距上下最好不要超过五岁。
如果对自己的外观有自信的话就更好了，
很乐意成为她的摄影师。
```

摄影作品
![WechatIMG4173](https://github.com/141801/info/assets/42635299/7347509c-2ec8-475f-ac33-d5a8f24342cb)
![WechatIMG4174](https://github.com/141801/info/assets/42635299/e7ef2fc2-7641-49a3-814c-e736ca001a78)



- (",male,1996,29,,INFJ,177,,,,日本,211本科,,,"摄影, 游戏, 游泳, 潜水, 阅读",情绪稳定，性格温柔善良，热爱生活，不悲不丧，有同理心，人品端正，爱干净，圈子简单，无不良嗜好,,,,脾气不要太差，有在日本长期生活的打算，瘦子，靠谱专一，年龄差距上下最好不要超过五岁，如果对自己的外观有自信的话就更好了,情绪稳定，性格温柔善良，热爱生活，不悲不丧，有同理心，人品端正，爱干净（每天洗澡，穿出门的衣服绝不沾床等），圈子简单，无不良嗜好
men_100_75,"编号75
```
男 97 哈尔滨 174  
来日本9年
不抽烟、不酗酒
intj
职业：ICU护士
爱好：游泳、潜水、健身、自驾游
居住:   千叶县
希望对方:无纹身、不抽烟、不酗酒、
互相理解、互相成长、体型偏瘦
```

- (",male,1997,28,,INTJ,174,,,哈尔滨,千叶县,,ICU护士,,"健身, 游泳, 潜水, 自驾游",,,,,无纹身、不抽烟、不酗酒、互相理解、互相成长、体型偏瘦,来日本9年，不抽烟、不酗酒
men_100_74,"编号74
```
2.性别：男
3.出生年份：1994
4.籍贯：河南
5.身高体重：171/65
6.学历：本科
7.居住地：埼玉
8.工作：日本大手it
9.车房：埼玉有套小房子，暂无车
兴趣爱好（方便找共同点)：爬山，
健身，朋友聚餐，看电影
我自己: 不吸烟不喝酒，无不良嗜好，
生活简单，工作稳定，身体健康，独生子
希望她: 生活简单，工作稳定，
颜值平均水平以上，标准身材，无不良嗜好
```

- (",male,1994,31,,,171,65,22.2,河南,埼玉,本科,日本大手it,,"健身, 朋友聚餐, 爬山, 看电影",不吸烟不喝酒，无不良嗜好，生活简单，工作稳定，身体健康，独生子,True,False,,生活简单，工作稳定，颜值平均水平以上，标准身材，无不良嗜好,
men_100_72,"编号72
```
97 183 77
福建的  做IT的，
除了不抽烟不咋喝酒，
啥都有点兴趣。
择偶标准 合得来就行
```

- (",male,1997,28,,,183,77,23.0,福建,,,IT,,"啥都有点兴趣, 除了不抽烟不咋喝酒",,,,,合得来就行,
men_100_71,"编号71

<img src=""https://github.com/141801/info/assets/42635299/580f4b0e-9baa-4af7-8ca4-a1bf84a44435""  /> 

```
广州人 男 1989年
国内985  2022年来日本
主业大阪IT公司 高才80分
副业投资埼玉千叶的不动产收租
计划明年拿永住搬回东京定居（交往后也可以共同协商）
也不排斥归化日籍（现在不够时间）
单身未婚无孩
INTP理论学者（不热衷研究这个，单纯当作社交话题聊一下）
不抽烟 在聚餐时会可以一两杯

【兴趣】
拍摄（照片和vlog，对vlog更感兴趣）
滑雪（两年前刚开始）
旅游（努力攒全日空里程换环球机票2张ing）

【对另一半的期待】
遇到问题可以一起解决，不要玩猜猜猜
未来没有回国定居的打算
```

- (",male,1989,36,,INTP,,,,广州,大阪,国内985,IT公司,,"拍摄, 旅游, 滑雪",,,,单身未婚无孩,遇到问题可以一起解决，不要玩猜猜猜，未来没有回国定居的打算,
men_100_70,"编号70

<img src=""https://github.com/141801/info/assets/42635299/30216e4c-91af-4f7c-b062-637ba7814909"" /> 

```
96年吉林人 爹系的宝宝
ENFP精神状况不太稳定不定时发癫
よろしく身高180  体重160
研2学生  住池袋，
喜欢唱歌，剧本杀，羽毛球，打游戏。
喜欢甜妹！乖乖的小女生
```

- (",male,1996,29,,ENFP,180,72,22.2,吉林,池袋,研2学生,,,"剧本杀, 唱歌, 打游戏, 羽毛球",爹系的宝宝，精神状况不太稳定不定时发癫,,,,喜欢甜妹！乖乖的小女生,よろしく
men_100_69,"编号69
```
上海人 92年 男 
身高183 体重82kg 最近在减肥中
日本大学院毕业 现住东京
来日5年目 社会人1年目 
中小公司社畜，年收300+
无车无房无存款无不良嗜好

性格：ISTP
直男一枚，但是性格比较温和
有情绪习惯憋着自己慢慢消化，
但是累积到一定程度会忽然爆发
不怎么会说话，嘴贱
爱好自由，不喜欢被过度束缚，我也不会大男子主义

爱好：动漫，游戏，电影，唱歌，足球，摄影
希望另一半：
心地善良，性格温和
遇到问题愿意一起真诚解决
年龄92以后
学历大学以上，有正常工作
```


- (",male,1992,33,,ISTP,183,82,24.5,上海,东京,日本大学院毕业,中小公司社畜,300+,"动漫, 唱歌, 摄影, 游戏, 电影, 足球",直男一枚，但是性格比较温和，有情绪习惯憋着自己慢慢消化，但是累积到一定程度会忽然爆发，不怎么会说话，嘴贱，爱好自由，不喜欢被过度束缚，我也不会大男子主义,False,False,,心地善良，性格温和，遇到问题愿意一起真诚解决，年龄92以后，学历大学以上，有正常工作,
men_100_68,"编号68

![WechatIMG6005](https://github.com/141801/info/assets/42635299/527c7f2e-57de-4b80-bc1b-8c39513aa825)

```
个人简介
【年龄】95
【MBTI】ENFJ
【体形】 187cm，91kg。
  高高的有点儿壮（有在健身）
【籍贯】辽宁
【工作】IT项目主管
【学历】立命馆大学学部
【专业】情报理工学
【兴趣】健身、游泳、爬山、逛美术馆、
看侦探小说，旅游出行、吃吃喝喝

期待的另一半
【希望对方】年龄相近或年下，
 成熟些，有长期留在东京的想法。
 身高165+
```

- （",male,1995,30,,ENFJ,187,91,26.0,辽宁,东京,立命馆大学学部,IT项目主管,,"健身, 吃吃喝喝, 旅游出行, 游泳, 爬山, 看侦探小说, 逛美术馆",,,,,年龄相近或年下，成熟些，有长期留在东京的想法，身高165+,
men_100_65,"编号65
  
<img src=""https://github.com/141801/info/assets/42635299/bd3418ea-0e5d-40d1-ab0a-205c8403df47"" /> 

```
00年 男 75kg 176
国内本科 现住东京 现读语校
准备再读学部 n1 esfj
性格 富有弹性 一般不喝酒
从不吸烟 喜欢拍照 品茗 闻香
煮饭 偶尔会在屋子里锻炼
懂拍照 平时一个人喜欢看书
如果周末有时间会逛神社和跳蚤市场
希望能够相互平等 无论是物质和思想上的
能够有共同话题 相互理解和进步
我觉得提升自己比相信能够通过话术搭讪别人更加重要
相信无论一个人还是两个人都是能够轻松快乐的
```

- (",male,2000,25,,ESFJ,176,75,24.2,,东京,国内本科,语校学生,,"品茗, 拍照, 煮饭, 看书, 跳蚤市场, 逛神社, 锻炼, 闻香",富有弹性，一般不喝酒，从不吸烟,,,,希望能够相互平等，无论是物质和思想上的，能够有共同话题，相互理解和进步,我觉得提升自己比相信能够通过话术搭讪别人更加重要，相信无论一个人还是两个人都是能够轻松快乐的
men_100_64,"编号64
```
辽宁大连人 男 现居住在横滨
家庭和谐父母恩爱
1990年 射手座
国内本科毕业
178  65kg 感兴趣可互换照片
IT行业 
单身无婚史
无不良嗜好，平常偶尔小酌

·兴趣
平常会打篮球，偶尔游泳，滑雪（单板初心者）
偶尔跟朋友打打台球和一些休闲运动
遇到感兴趣的文物书画展会去参观
喜欢观看各类赛事
city walk（发现新事物会很有趣）

·性格
开朗，情绪稳定，很好相处，有包容心
愿意倾听

·理想型
心地善良，细心，性格开朗温和
喜欢彼此沟通 ✅
冷战，无故不理人，过于自我 ❌
身材匀称就好
希望遇到的那个她能在以后的生活中互相扶持，
尊重彼此的爱好，一起拥抱属于我们二人的美好的生活
```

- （",male,1990,35,射手座,,178,65,20.5,辽宁大连,横滨,国内本科毕业,IT行业,,"city, walk, 参观文物书画展, 打台球, 打篮球, 游泳, 滑雪, 观看各类赛事",开朗，情绪稳定，很好相处，有包容心，愿意倾听,,,单身无婚史,心地善良，细心，性格开朗温和，喜欢彼此沟通，身材匀称，希望互相扶持，尊重彼此的爱好,家庭和谐父母恩爱，无不良嗜好，平常偶尔小酌
men_100_63,"编号63

<img src=""https://github.com/141801/info/assets/42635299/610f969a-de27-4b9f-938b-e139dca6b85a"" /> 


- (",male,,,,,,,,,,,,,,,,,,,
men_100_60,"编号60
```
性别: 男
出生年份: 1997年10月
故乡: 浙江杭州
身高体重: 174cm/57kg
学历:硕士（东大-机械工学）
居住地:枥木县
工作: 工程师
留日时长: 第3年
爱好: 跑步，骑车，motorsports
性格: intj
理想型: 95后，身高＞159
```

- (",male,1997,28,,INTJ,174,57,18.8,浙江杭州,枥木县,硕士,工程师,,"motorsports, 跑步, 骑车",,,,,95后，身高＞159,
men_100_59,"编号59
```
28岁，目前住在东京，河北唐山人，
喜欢游戏，动漫，喝酒，旅游，ktv
希望能找一个能包容我的人吧，
最好有同样的兴趣
即便没共同兴趣也最少希望别嫌弃我这些兴趣。
而且也希望对面是个比较爱和我一起出去玩的类型
```


- （",male,1996,29,,,,,,河北唐山,东京,,,,"ktv, 动漫, 喝酒, 旅游, 游戏",,,,,能包容我的人，最好有同样的兴趣，即便没共同兴趣也最少希望别嫌弃我这些兴趣，希望对面是个比较爱和我一起出去玩的类型,
men_100_57,"编号57
```
天津人，男，173cm，65kg，1991年
毕业院校  国内前50，日本有名私立

IT大手 正社员 年收 600w

江东区有自己的房子

会认真听别人讲话，尊重个人价值观
体育运动比较擅长，愿意体验各种户外活动

理想型
心地善良，热爱每一天
年龄92年以后
```


- （",male,1991,34,,,173,65,21.7,天津,江东区,国内前50，日本有名私立,IT大手 正社员,600w,"体育运动, 户外活动",会认真听别人讲话，尊重个人价值观,True,,,心地善良，热爱每一天，年龄92年以后,
men_100_56,"编号56
```
性别：男
出生年份：1982
星座：白羊座  INFJ 
籍贯：戶籍东京練馬 原籍台湾
身高体重：163/49kg
学历：大学+日本建築专校
居住地：东京都内 年中会搬至琦玉新家
工作：建築工程
运动：散步、賽车（Gokart,但长年無參加）、射箭(初心者程度)
兴趣：相機・摄影、旅行、美食与雑貨探访、
模型、桌遊、绘画、音乐与电影欣賞
饮食习惯：不吃辣 不喝酒。也不吸菸 喜欢喝茶。一有時間会下廚。
房：新築一戸建て(駐車スペース2台分、於埼玉・到池袋特急僅3站、
購物便利、対面有巨型溫泉設施) 车：年內購入
体質是吃不胖型，偏瘦，但也因此衣服好买 注重穿著打扮。
交友圈单純，偏文靜型、不喜欢吵架。

希望对方：
身高基本不拘。如中等或偏瘦更喜欢。
有工作或兼职，或经营个人事业。
偶尔会做饭就更好。
家事部分不重要。(我平時就已喜欢打掃整理環境 纖細衣物还都手洗)
不抽菸，酒类小酌程度。
性格溫和开朗，有话能直说。
```

- （",male,1982,43,白羊座,INFJ,163,49,18.4,台湾,东京都内,大学+日本建築专校,建築工程,,"下廚, 射箭, 散步, 旅行, 桌遊, 模型, 相機・摄影, 绘画, 美食与雑貨探访, 賽车, 音乐与电影欣賞",交友圈单純，偏文靜型、不喜欢吵架，注重穿著打扮,True,True,,身高基本不拘。如中等或偏瘦更喜欢。有工作或兼职，或经营个人事业。偶尔会做饭就更好。家事部分不重要。不抽菸，酒类小酌程度。性格溫和开朗，有话能直说,
men_100_54,"编号54
```
性别：男
生年：89
籍贯：吉林长春
身高：170
学历：硕士
居住地：东京立川
工作：机械设计
兴趣爱好：读书、传统文化、狼人杀、剧本杀
综合描述：不抽烟，跟朋友聚会会喝酒，永驻申请中。
INFP，情绪稳定性格好，
虽然内向但是冷场的时候也会硬头皮化身e人。
双子座，可动可静，能宅在家里看书，也能外出上山下海。

期望对方：大一到小五左右，三观眼缘合得来，
有主见但不执拗，自由但是有度，不嫌弃直男，不会太自我
身高，我一米七，所以一米七以下或者能接受我身高的就行。
长相，普通以上，不一定很漂亮，耐看就行
性格，不执拗，做事有度，遇事可以商量，
可以最后不同意，但是不要连反对意见都不能说，开朗文静都可以
学历，大学以上
信仰，不要信基督教
职业，正常工作
```

- （",male,1989,36,双子座,INFP,170,,,吉林长春,东京立川,硕士,机械设计,,"传统文化, 剧本杀, 狼人杀, 读书",情绪稳定性格好，虽然内向但是冷场的时候也会硬头皮化身e人，可动可静，能宅在家里看书，也能外出上山下海，不抽烟，跟朋友聚会会喝酒,,,,大一到小五左右，三观眼缘合得来，有主见但不执拗，自由但是有度，不嫌弃直男，不会太自我，身高一米七以下或者能接受我身高的就行，长相普通以上耐看，性格不执拗做事有度遇事可以商量，学历大学以上，不要信基督教，职业正常工作,永驻申请中
men_100_51,"编号51
```
94年 男 东京 ，175/65，不胖不瘦，
出生年份：1994
性别：男  
出身地：福建
学历 工作：本科  建筑业 
年收 签证：700+   永驻者
身高体重：175/65   不胖不瘦
星座：白羊座
mbti：ISFJ-A
兴趣爱好：运动 看小说 电影 岩盘浴 温泉
优点：情绪稳定 重承诺  真诚
缺点：做饭不行，只会煮简单的饭菜。
比较宅。恋爱脑。
其他：不抽烟，不喝酒。
理想女友 ：能相互理解 包容 能正常沟通
 面对问题时能一起面对解决 真诚

```
- (",male,1994,31,白羊座,ISFJ-A,175,65,21.2,福建,东京,本科,建筑业,700+,"岩盘浴, 温泉, 电影, 看小说, 运动",情绪稳定 重承诺 真诚 比较宅 恋爱脑,,,,能相互理解 包容 能正常沟通 面对问题时能一起面对解决 真诚,不胖不瘦 做饭不行，只会煮简单的饭菜 不抽烟，不喝酒
men_100_49,"编号49
```
出生年份：1995
性别：男  
出身地：吉林
学历：本科 目前是日本公司的正社员
身高体重：171/65
星座：天平座
兴趣爱好：
比较喜欢动漫以及游戏
骑行 爬山 乐高
不抽烟，一般不喝酒，
平时会在家做饭     
择偶标准 ：兴趣爱好相似 ，聊得来 
短期应该不会有回国的打算
可以接受比自己大3岁的 
```
- （",male,1995,30,天平座,,171,65,22.2,吉林,,本科,日本公司的正社员,,"一般不喝酒, 不抽烟, 乐高, 动漫, 平时会在家做饭, 游戏, 爬山, 骑行",,,,,兴趣爱好相似，聊得来，短期应该不会有回国的打算，可以接受比自己大3岁的,
men_100_48,"编号48
```
男，01年，江苏人，水瓶座，
住在荒川区西日暮里，大学在都内，
INTP，来日第三年，身高173，体重57.4kg，
偶尔会和朋友喝点酒，爱好摄影，音乐。
想找一个比自己大的姐姐，
比我小也没事，年龄差在3岁就行
```


- （",male,2001,24,水瓶座,INTP,173,57,19.0,江苏,荒川区西日暮里,大学,,,"喝酒, 摄影, 音乐",,,,,想找一个比自己大的姐姐，比我小也没事，年龄差在3岁就行,
men_100_45,"编号45
```
出生年份：1998  
性别：男  
出身地：湖北   
学历：本科211   东京修士在读   
身高体重：178/65   
星座：巨蟹座  
mbti：intj  
兴趣爱好：平时比较宅
比较喜欢动漫以及游戏
还有美食探店
也爱好健身摄影   
其他：不抽烟，一般不喝酒，
平时会在家做饭     
择偶标准 ：兴趣爱好相似 ，
聊得来 ，不抽烟，
然后最好也是学生(不是也没关系)
```

- （",male,1998,27,巨蟹座,INTJ,178,65,20.5,湖北,东京,本科211，东京修士在读,,,"健身摄影, 动漫, 在家做饭, 游戏, 美食探店",平时比较宅，不抽烟，一般不喝酒,,,,兴趣爱好相似，聊得来，不抽烟，最好也是学生,
men_100_35,"编号35
```
性别：男
生年：95
籍贯：江西
身高：175
学历：国内本科
居住地：东京（练马区）
工作：it
兴趣爱好：唱歌（算是麦霸？），游戏（主机pc各种）
标准i人，刚来日本一年，各方面还不是很熟悉，
目前打算是在这边长期发展。不抽烟不酗酒，
最近也开始保持锻炼。希望能找一个志趣相投，
三观比较合的对象一起努力。
```


- （",male,1995,30,,,175,,,江西,东京（练马区）,国内本科,it,,"唱歌（算是麦霸？）, 游戏（主机pc各种）, 锻炼",标准i人，不抽烟不酗酒,,,,希望能找一个志趣相投，三观比较合的对象一起努力,刚来日本一年，各方面还不是很熟悉，目前打算是在这边长期发展，最近也开始保持锻炼
